Datetime,AEP_MW
2018-01-01 00:00:00,18687.0
2018-01-01 01:00:00,18508.0
2018-01-01 02:00:00,18600.0
2018-01-01 03:00:00,18571.0
2018-01-01 04:00:00,18686.0
2018-01-01 05:00:00,18912.0
2018-01-01 06:00:00,19214.0
2018-01-01 07:00:00,19585.0
2018-01-01 08:00:00,19886.0
2018-01-01 09:00:00,19933.0
2018-01-01 10:00:00,19847.0
2018-01-01 11:00:00,19710.0
2018-01-01 12:00:00,19453.0
2018-01-01 13:00:00,19049.0
2018-01-01 14:00:00,18737.0
2018-01-01 15:00:00,18619.0
2018-01-01 16:00:00,18691.0
2018-01-01 17:00:00,19109.0
2018-01-01 18:00:00,20279.0
2018-01-01 19:00:00,20925.0
2018-01-01 20:00:00,21089.0
2018-01-01 21:00:00,20999.0
2018-01-01 22:00:00,20820.0
2018-01-01 23:00:00,20415.0
2018-01-02 00:00:00,19993.0
2018-01-02 01:00:00,19670.0
2018-01-02 02:00:00,19658.0
2018-01-02 03:00:00,19797.0
2018-01-02 04:00:00,19973.0
2018-01-02 05:00:00,20335.0
2018-01-02 06:00:00,21038.0
2018-01-02 07:00:00,22060.0
2018-01-02 08:00:00,22685.0
2018-01-02 09:00:00,22744.0
2018-01-02 10:00:00,22368.0
2018-01-02 11:00:00,21995.0
2018-01-02 12:00:00,21288.0
2018-01-02 13:00:00,20698.0
2018-01-02 14:00:00,20123.0
2018-01-02 15:00:00,19648.0
2018-01-02 16:00:00,19317.0
2018-01-02 17:00:00,19658.0
2018-01-02 18:00:00,20913.0
2018-01-02 19:00:00,21725.0
2018-01-02 20:00:00,21971.0
2018-01-02 21:00:00,21942.0
2018-01-02 22:00:00,21695.0
2018-01-02 23:00:00,21230.0
2018-01-03 00:00:00,20799.0
2018-01-03 01:00:00,20473.0
2018-01-03 02:00:00,20475.0
2018-01-03 03:00:00,20368.0
2018-01-03 04:00:00,20575.0
2018-01-03 05:00:00,20917.0
2018-01-03 06:00:00,21531.0
2018-01-03 07:00:00,22385.0
2018-01-03 08:00:00,22759.0
2018-01-03 09:00:00,22624.0
2018-01-03 10:00:00,22252.0
2018-01-03 11:00:00,21755.0
2018-01-03 12:00:00,20943.0
2018-01-03 13:00:00,20206.0
2018-01-03 14:00:00,19652.0
2018-01-03 15:00:00,19245.0
2018-01-03 16:00:00,19107.0
2018-01-03 17:00:00,19428.0
2018-01-03 18:00:00,20176.0
2018-01-03 19:00:00,20676.0
2018-01-03 20:00:00,20593.0
2018-01-03 21:00:00,20484.0
2018-01-03 22:00:00,20013.0
2018-01-03 23:00:00,19254.0
2018-01-04 00:00:00,18723.0
2018-01-04 01:00:00,18193.0
2018-01-04 02:00:00,18007.0
2018-01-04 03:00:00,17926.0
2018-01-04 04:00:00,18082.0
2018-01-04 05:00:00,18446.0
2018-01-04 06:00:00,19220.0
2018-01-04 07:00:00,20497.0
2018-01-04 08:00:00,21308.0
2018-01-04 09:00:00,21387.0
2018-01-04 10:00:00,21371.0
2018-01-04 11:00:00,21200.0
2018-01-04 12:00:00,21027.0
2018-01-04 13:00:00,20927.0
2018-01-04 14:00:00,20750.0
2018-01-04 15:00:00,20616.0
2018-01-04 16:00:00,20679.0
2018-01-04 17:00:00,21052.0
2018-01-04 18:00:00,21985.0
2018-01-04 19:00:00,22459.0
2018-01-04 20:00:00,22391.0
2018-01-04 21:00:00,22166.0
2018-01-04 22:00:00,21800.0
2018-01-04 23:00:00,21149.0
2018-01-05 00:00:00,20513.0
2018-01-05 01:00:00,20112.0
2018-01-05 02:00:00,19774.0
2018-01-05 03:00:00,19868.0
2018-01-05 04:00:00,19884.0
2018-01-05 05:00:00,20212.0
2018-01-05 06:00:00,20824.0
2018-01-05 07:00:00,21680.0
2018-01-05 08:00:00,22406.0
2018-01-05 09:00:00,22456.0
2018-01-05 10:00:00,22345.0
2018-01-05 11:00:00,22081.0
2018-01-05 12:00:00,21631.0
2018-01-05 13:00:00,21247.0
2018-01-05 14:00:00,20950.0
2018-01-05 15:00:00,20632.0
2018-01-05 16:00:00,20537.0
2018-01-05 17:00:00,20750.0
2018-01-05 18:00:00,21580.0
2018-01-05 19:00:00,21946.0
2018-01-05 20:00:00,21943.0
2018-01-05 21:00:00,21863.0
2018-01-05 22:00:00,21554.0
2018-01-05 23:00:00,21216.0
2018-01-06 00:00:00,20708.0
2018-01-06 01:00:00,20365.0
2018-01-06 02:00:00,20339.0
2018-01-06 03:00:00,20316.0
2018-01-06 04:00:00,20502.0
2018-01-06 05:00:00,20688.0
2018-01-06 06:00:00,21100.0
2018-01-06 07:00:00,21631.0
2018-01-06 08:00:00,22085.0
2018-01-06 09:00:00,22256.0
2018-01-06 10:00:00,22070.0
